location,Sfax,Sfax,Sfax
lat,34.70725,34.70725,34.70725
lon,10.66667,10.66667,10.66667
asl,49.214,49.214,49.214
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Minimum,Maximum,Mean
timestamp,Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected]
20190904T0000,24.01789,31.76789,27.163727
20190905T0000,24.14789,30.98789,27.214973
20190906T0000,23.76789,29.947891,26.452894
20190907T0000,22.637892,28.447891,25.559143
20190908T0000,24.797892,28.99789,26.39039
20190909T0000,23.58789,28.98789,26.194551
20190910T0000,23.207891,28.65789,26.122057
20190911T0000,22.887892,27.99789,25.843306
20190912T0000,26.24789,29.367891,27.62497
20190913T0000,25.947891,29.557892,27.447891
20190914T0000,25.76789,29.75789,27.45414
20190915T0000,25.49789,29.967892,27.249971
20190916T0000,25.25789,30.197891,27.414139
20190917T0000,25.937891,31.41789,28.058313
20190918T0000,26.437891,31.26789,28.233725
20190919T0000,25.82789,35.05789,29.691225
20190920T0000,25.91789,31.607891,28.546225
20190921T0000,26.857891,30.807892,28.377474
20190922T0000,26.39789,28.57789,27.558723
20190923T0000,25.84789,33.897892,29.027056
20190924T0000,24.83789,29.617891,26.75081
20190925T0000,24.967892,29.297892,26.63539
20190926T0000,25.117891,29.75789,26.991226
20190927T0000,23.24789,29.137892,26.237055
20190928T0000,23.137892,28.877892,26.01789
20190929T0000,23.807892,29.17789,26.49956
20190930T0000,23.937891,29.537891,26.742472
20191001T0000,22.807892,29.707891,26.341639
20191002T0000,24.707891,33.327892,27.993723
20191003T0000,21.97789,28.607891,24.74456
20191004T0000,20.287891,29.367891,24.160393
20191005T0000,20.39789,31.51789,25.62414
20191006T0000,21.76789,28.67789,24.936224
20191007T0000,20.447891,30.807892,23.649141
20191008T0000,19.76789,24.99789,22.132889
20191009T0000,20.98789,24.59789,22.61081
20191010T0000,21.217892,27.027891,23.65331
20191011T0000,20.08789,26.687891,22.939558
20191012T0000,19.15789,25.83789,22.83789
20191013T0000,21.08789,27.617891,24.54914
20191014T0000,23.127892,28.17789,25.399973
20191015T0000,23.56789,30.39789,26.074976
20191016T0000,21.76789,26.207891,24.20456
20191017T0000,21.07789,26.40789,23.651642
20191018T0000,22.377892,28.027891,24.964975
20191019T0000,21.697891,27.957891,24.774557
20191020T0000,21.717892,27.97789,25.139975
20191021T0000,23.297892,28.56789,25.60914
20191022T0000,23.547892,27.39789,24.86956
20191023T0000,24.66789,27.75789,25.68664
20191024T0000,20.39789,30.557892,26.149557
20191025T0000,18.24789,24.31789,21.196224
20191026T0000,18.09789,22.92789,20.234972
20191027T0000,17.297892,21.49789,19.41039
20191028T0000,18.40789,24.40789,20.923307
20191029T0000,18.75789,24.01789,21.091639
20191030T0000,18.807892,24.31789,21.227474
20191031T0000,18.107891,24.33789,21.30831
20191101T0000,18.32789,23.24789,21.258726
20191102T0000,16.707891,25.447891,21.003723
20191103T0000,19.457891,27.547892,23.556223
20191104T0000,18.877892,25.74789,22.68331
20191105T0000,18.42789,27.74789,23.26122
20191106T0000,16.17789,22.197891,19.750391
20191107T0000,13.947891,21.75789,17.680391
20191108T0000,15.077891,22.027891,18.289974
20191109T0000,14.627891,19.91789,16.904556
20191110T0000,12.107891,19.56789,16.519556
20191111T0000,12.757891,17.81789,15.57414
20191112T0000,11.357891,16.877892,14.017472
20191113T0000,12.447891,19.48789,15.757057
20191114T0000,14.057891,21.49789,17.516642
20191115T0000,15.867891,24.90789,20.353724
20191116T0000,15.027891,26.117891,21.551224
20191117T0000,11.257891,19.437891,15.021642
20191118T0000,9.977891,18.367891,14.642056
20191119T0000,11.737891,19.457891,15.111641
20191120T0000,9.637891,19.23789,14.495808
20191121T0000,11.067891,19.607891,15.269974
20191122T0000,12.527891,20.92789,16.516642
20191123T0000,14.187891,21.22789,18.03039
20191124T0000,13.117891,19.287891,16.069143
20191125T0000,11.937891,19.877892,15.515392
20191126T0000,13.7078905,22.287891,17.420393
20191127T0000,12.987891,22.41789,17.056223
20191128T0000,12.717891,24.75789,17.922474
20191129T0000,14.837891,22.127892,18.23539
20191130T0000,14.067891,21.127892,17.132057
20191201T0000,13.167891,20.787891,17.367891
20191202T0000,14.577891,22.117891,18.990805
20191203T0000,12.277891,19.867891,15.738724
20191204T0000,14.367891,20.857891,17.660393
20191205T0000,11.837891,22.387892,16.98414
20191206T0000,10.717891,20.91789,15.66414
20191207T0000,13.697891,19.707891,16.628307
20191208T0000,15.877891,20.287891,17.963722
20191209T0000,14.597891,19.25789,17.070808
20191210T0000,11.797891,16.81789,14.182891
20191211T0000,11.037891,16.90789,14.229141
20191212T0000,10.557891,18.387892,14.19289
20191213T0000,10.607891,18.967892,14.977475
20191214T0000,14.7078905,23.32789,18.086222
20191215T0000,12.297891,21.037891,16.617472
20191216T0000,11.417891,20.92789,16.47039
20191217T0000,15.74789,18.81789,17.13289
20191218T0000,14.647891,19.367891,17.95664
20191219T0000,11.567891,20.73789,15.705808
20191220T0000,11.267891,19.97789,15.539558
20191221T0000,14.2078905,19.50789,16.571224
20191222T0000,15.277891,24.75789,18.85914
20191223T0000,13.887891,21.83789,17.856638
20191224T0000,11.117891,21.17789,15.755391
20191225T0000,12.787891,23.867891,17.441225
20191226T0000,12.017891,23.26789,16.63789
20191227T0000,11.487891,21.23789,15.853725
20191228T0000,11.177891,19.187891,14.819141
20191229T0000,10.267891,14.177891,12.412889
20191230T0000,9.037891,13.617891,11.016641
20191231T0000,7.8778915,13.477891,10.741223
